Approach,Recall,Precision,Specificity
1.5 Disj 30,0.49871070148489505,0.618825940565071,0.7035098522167488
1.5 Disj 30 w/ Sample Data,0.47405120327700967,0.6181780538302277,0.7239265188834155
1.5 Disj 10 w/ Sample Data,0.4235074244751664,0.6198652882205514,0.729020935960591
1.6 Baseline,0.4181003584229391,0.5947186147186148,0.7132963875205254
1.5 Disj 10,0.40833282130056325,0.6306746031746031,0.757481527093596
1.8 Disj 30,0.3947178699436764,0.6892496392496392,0.8163505747126438
1.9 Baseline,0.3470558115719406,0.5594805194805195,0.7248624794745484
1.8 Disj 30 w/ Sample Data,0.3436385048643113,0.6572193024366937,0.8251600985221674
1.6 Disj 30,0.31975832053251413,0.576003996003996,0.7570217569786536
2.4 Baseline,0.30408192524321553,0.5316083916083916,0.7144540229885058
1.7 Disj 30,0.29729237071172554,0.6832323232323232,0.8548111658456486
1.9 Disj 30 w/ Sample Data,0.29424782386072706,0.6008817163228928,0.8029310344827586
1.7 Disj 30 w/ Sample Data,0.2699375320020482,0.6455409356725146,0.8385693760262726
1.6 Disj 30 w/ Sample Data,0.26685816692268305,0.5100238095238094,0.7432717569786534
2.0 Disj 30,0.26226932923707114,0.6240870240870241,0.8406527093596059
2.0 Disj 30 w/ Sample Data,0.256762928827445,0.5941317016317016,0.8220217569786537
1.9 Disj 30,0.2463604710701485,0.6153846153846154,0.8485693760262725
2.2 Disj 30 w/ Sample Data,0.24381771633384536,0.6068006993006992,0.838477011494253
2.3 Disj 30,0.24226932923707117,0.7768498168498168,0.9165045155993432
2.3 Disj 30 w/ Sample Data,0.23603277009728624,0.7324675324675325,0.8956711822660098
2.2 Disj 30,0.2342304147465438,0.6554545454545455,0.879353448275862
2.1 Disj 30,0.22815258576548897,0.5997435897435898,0.8563423645320197
1.6 Disj 10 w/ Sample Data,0.21929544290834616,0.6281704260651629,0.8688259441707717
2.4 Disj 30,0.2140010240655402,0.7616666666666667,0.9308928571428572
2.1 Disj 30 w/ Sample Data,0.20465335381464414,0.5672161172161172,0.8437315270935961
2.4 Disj 30 w/ Sample Data,0.20405734767025088,0.6974181374181374,0.9036986863711002
1.9 Disj 10 w/ Sample Data,0.19476292882744492,0.5845238095238094,0.85435960591133
1.6 Disj 10,0.17545417306707628,0.7144444444444444,0.9232224958949097
1.8 Disj 10 w/ Sample Data,0.1641699948796723,0.4709235209235209,0.8922105911330049
2.0 Disj 10 w/ Sample Data,0.16218740399385562,0.48452798663324986,0.8164100985221674
2.4 Disj 10 w/ Sample Data,0.1616722990271377,0.5073015873015873,0.8245997536945813
1.8 Disj 10,0.14205017921146953,0.5672727272727273,0.9376190476190477
1.7 Disj 10 w/ Sample Data,0.1402652329749104,0.5910256410256409,0.902516420361248
2.2 Disj 10 w/ Sample Data,0.14016999487967227,0.4776190476190476,0.8020463875205254
2.3 Disj 10 w/ Sample Data,0.13968970814132103,0.4565384615384616,0.8230439244663381
2.1 Disj 10 w/ Sample Data,0.1258801843317972,0.37815789473684214,0.7968780788177339
1.9 Disj 10,0.1139825908858167,0.5933333333333334,0.9286473727422004
2.0 Disj 10,0.10764772145417308,0.5876190476190476,0.9206876026272578
1.7 Disj 10,0.1006779313876088,0.49142857142857144,0.9416748768472907
2.4 Disj 10,0.08583819764464926,0.6633333333333333,0.9476949917898194
2.3 Disj 10,0.06673732718894007,0.8833333333333332,0.9854166666666668
2.1 Disj 10,0.058261136712749614,0.41,0.9135365353037767
2.2 Disj 10,0.058046082949308755,0.48666666666666664,0.9338772577996716
