Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
1.5, ,1,0.64,0.5,0.5428571428571428, ,0.48,0.4,0.4857142857142857, ,0.64,0.5,0.5428571428571428, ,0.52,0.52,0.6571428571428571, ,0.56,0.45161290322580644,0.5142857142857142
1.5, ,2,0.3448275862068966,0.5555555555555556,0.7419354838709677, ,0.4827586206896552,0.56,0.6451612903225806, ,0.4482758620689655,0.4642857142857143,0.5161290322580645, ,0.41379310344827586,0.4444444444444444,0.5161290322580645, ,0.5862068965517241,0.4857142857142857,0.41935483870967744
1.5, ,3,0.3333333333333333,0.6875,0.8148148148148148, ,0.3333333333333333,0.4583333333333333,0.5185185185185185, ,0.2727272727272727,0.391304347826087,0.48148148148148145, ,0.42424242424242425,0.5,0.48148148148148145, ,0.24242424242424243,0.5333333333333333,0.7407407407407407
1.5, ,4,0.5161290322580645,0.5925925925925926,0.6206896551724138, ,0.5806451612903226,0.6206896551724138,0.6206896551724138, ,0.4838709677419355,0.6,0.6551724137931034, ,0.5483870967741935,0.53125,0.4827586206896552, ,0.5483870967741935,0.5483870967741935,0.5172413793103449
1.5, ,5,0.5,0.6956521739130435,0.75, ,0.46875,0.6,0.6428571428571429, ,0.375,0.75,0.8571428571428571, ,0.4375,0.6086956521739131,0.6785714285714286, ,0.34375,0.6111111111111112,0.75
Average:            , , ,0.4668579903596589,0.6062600644122382,0.6940594193430678, ,0.4690974230626622,0.5278045977011494,0.5825881785169883, ,0.4439748205076347,0.5411180124223602,0.6105565855065298, ,0.4687845248929787,0.5208780193236715,0.5632166840286974, ,0.456153647150032,0.5260317460317461,0.5883245346092955
Standard Deviation: , , ,0.11508643486244176,0.07568332004945193,0.09823297039531673, ,0.07896885610290011,0.0848959665827929,0.06706554606661003, ,0.12175329236001393,0.12420692434624331,0.13634919971881612, ,0.054674255369770414,0.05310041167486504,0.08660280979895052, ,0.13749164356194218,0.05469046537975989,0.13300750055194313
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
